,author,statement,source,date,target,BinaryTarget,BinaryNumTarget
499,Paul Specht,On whether he supports the filibuster.,Jeff Jackson,"April 15, 2021",no-flip,FAKE,0
500,Lara Bonatesta,"President Joe Biden’s American Relief Plan “has a lot of money in it for schools, but if you really look at it … it says that the school money is going to go out until the year 2028.”",Shelley Moore Capito,"April 15, 2021",mostly-true,FAKE,0
501,Tom Kertscher,"""Kids in cages"" in border facilities are ""at 700% capacity.""",Facebook posts,"April 15, 2021",half-true,FAKE,0
502,Louis Jacobson,“There is racism physically built into some of our highways.”,Pete Buttigieg,"April 15, 2021",true,REAL,1
503,Tom Kertscher,"Says Joe Biden is “withholding $150 million in aid from Ukraine” to “pressure Ukraine to drop all criminal investigations into him and his son, Hunter.”",George Papadopoulos,"April 15, 2021",false,FAKE,0
504,Ciara O'Rourke,“Marjorie Taylor Greene just scrubbed her Twitter feed of all things Gaetz.”,Viral image,"April 15, 2021",false,FAKE,0
505,Ciara O'Rourke,“Moderna chief medical officer admits: mRNA alters DNA.”,Facebook posts,"April 14, 2021",false,FAKE,0
506,Michael Majchrowicz,“Jay-Z and Beyonce are buying back DMX’s masters for $10 Million and giving to his kids for free.”,Facebook posts,"April 14, 2021",pants-fire,FAKE,0
507,Ciara O'Rourke,“McDonald’s and Coke have both announced no whites will be hired in top positions.”,Facebook posts,"April 13, 2021",false,FAKE,0
508,Amy Sherman,Says Raphael Warnock supports boycotts of Georgia to protest voting law.,National Republican Senatorial Committee,"April 13, 2021",false,FAKE,0
509,Louis Jacobson,“Something less than 6% ... of this proposal that President Biden has put forward is actually focused on infrastructure.”,Liz Cheney,"April 13, 2021",pants-fire,FAKE,0
510,Ciara O'Rourke,"A serial killer is targeting women in Hot Springs, Ark.",Facebook posts,"April 13, 2021",false,FAKE,0
511,Andy Nguyen,Says the “1986 Vaccine protection act” resulted in “the biggest jump in shots” for children because it gave drug manufacturers “exemption for responsibility of killing people.”,Facebook posts,"April 13, 2021",false,FAKE,0
512,Ciara O'Rourke,A photo shows Queen Elizabeth giggling because Prince Philip surprised her dressed in uniform as a palace guard.,Viral image,"April 13, 2021",false,FAKE,0
513,Bill McCarthy,"""DMX received COVID vaccine days before heart attack.""",Instagram posts,"April 12, 2021",false,FAKE,0
514,Ciara O'Rourke,"After learning some officers are Jewish, “Ilhan Omar says police shouldn’t exist.”",Viral image,"April 12, 2021",pants-fire,FAKE,0
515,Ciara O'Rourke,"“George Floyd’s younger brother, Dejywan Floyd, has been arrested in North Carolina for a ‘road rage’ shooting of a white couple, killing the mother of six sitting in the passenger seat.”",Viral image,"April 12, 2021",false,FAKE,0
516,Louis Jacobson,"“A new, independent study put out last week found that at least 55 of our largest corporations used various loopholes to pay zero federal income tax in 2020.”",Joe Biden,"April 12, 2021",mostly-true,FAKE,0
517,Landon Allison,Residents of New York state “pay the highest taxes in the nation.”,Nicholas Langworthy,"April 12, 2021",mostly-true,FAKE,0
518,Tom Kertscher,Black Lives Matter protest at Iowa Capitol was an “insurrection” like that on Jan. 6 at the U.S. Capitol.,Bloggers,"April 12, 2021",false,FAKE,0
519,Laura Schulte,“We have encountered the largest surge of migrants (at the southern border) in the last 20 years.”,Glenn Grothman,"April 12, 2021",barely-true,FAKE,0
520,Warren Fiske,On running for governor as an independent.,Amanda Chase,"April 12, 2021",half-flip,FAKE,0
521,Jill Terreri,"""In fact, the data coming in from some states that have legalized marijuana is that they actually see a decrease in use over time, particularly among young people.""",Liz Krueger,"• April 9,",half-true,FAKE,0
522,Michael Majchrowicz,“56 million defenseless people ‘rounded up and exterminated’ in the 20th Century because of gun control.”,Instagram posts,"April 9, 2021",false,FAKE,0
523,Jon Greenberg,Says Officer Derek Chauvin’s knee was “not on neck of George Floyd.”,Instagram posts,"April 9, 2021",false,FAKE,0
524,Tom Kertscher,"“Kids at the border: 2,600 highest number Trump, 12,000 currently under Biden.”",Brandon Tatum,"April 9, 2021",half-true,FAKE,0
525,Madison Czopek,"“Covid-does NOT exist AS A VIRUS,” and Russian doctors performing autopsies on deceased COVID-19 patients violate a World Health Organization law",Instagram posts,"April 9, 2021",pants-fire,FAKE,0
526,Brandon Mulder,"“Nothing has changed in the election code (under SB 7) regarding early voting. Nothing has changed.""",Dan Patrick,"April 9, 2021",pants-fire,FAKE,0
527,Louis Jacobson,"“You go to a gun show, you can buy whatever you want, and no background check.""",Joe Biden,"April 8, 2021",barely-true,FAKE,0
528,Tom Kertscher,"""New poll indicates” Joe Biden’s “approval at 11%, the lowest approval rating of any president in American history.""",Facebook posts,"April 8, 2021",pants-fire,FAKE,0
529,Madeline Heim,"Says it doesn't make sense for young adults to get the vaccine since they ""really are not under that much of a threat as a result of this virus.""",Tom Tiffany,"April 8, 2021",barely-true,FAKE,0
530,Tom Kertscher,“Former Las Vegas Raiders offensive tackle Bruce Campbell involved in altercation.”,Facebook posts,"April 7, 2021",false,FAKE,0
531,Louis Jacobson,"President Joe Biden’s infrastructure proposal “is fully paid for. Across 15 years, it would raise all of the revenue needed for these once-in-a-lifetime investments.""",Pete Buttigieg,"April 7, 2021",mostly-true,FAKE,0
532,Tom Kertscher,"Colorado “requires photo ID to vote in person, requires signature verification for mail-in ballots, which Georgia got rid of, and prevents campaign workers from giving food, water to voters within 100 feet if they’re wearing campaign apparel.”",Facebook posts,"April 7, 2021",half-true,FAKE,0
533,Bill McCarthy,"""Sunday was never used before as a voting day in Georgia.”",Edward Lawrence,"April 7, 2021",false,FAKE,0
534,Tom Kertscher,“Report: Biden administration busing ‘thousands’ of illegals to red states to get permanent status.”,Bloggers,"April 7, 2021",false,FAKE,0
535,Jon Greenberg,Says Georgia “has more day-of voting rights than Colorado.”,Tim Scott,"April 7, 2021",barely-true,FAKE,0
536,Haley BeMiller,"""Over the past decade, drug prices have risen at three times the rate of inflation.""",Tammy Baldwin,"April 7, 2021",half-true,FAKE,0
537,Louis Jacobson,The proposal by President Joe Biden would put the U.S. “No. 2 in the world” for the highest corporate tax rate.,Roy Blunt,"April 6, 2021",half-true,FAKE,0
538,Louis Jacobson,"President Joe Biden’s corporate tax rate increase would ""put us in line with other industrial nations.""",Jennifer Granholm,"April 6, 2021",barely-true,FAKE,0
539,Andy Nguyen,“6000% Increase in Reported Vaccine Deaths 1st Quarter 2021 Compared to 1st Quarter 2020”,Instagram posts,"April 6, 2021",false,FAKE,0
540,Bill McCarthy,“The Biden administration is engaging in human trafficking because they are enabling this to happen” at the southern border.,Katie Pavlich,"April 6, 2021",false,FAKE,0
541,Ciara O'Rourke,Says Donald Trump indicted Amy Coney Barrett.,Bloggers,"April 6, 2021",pants-fire,FAKE,0
542,Brandon Mulder,“Twice as many children are in Border Patrol custody under Biden than Trump peak in 2019.”,Greg Abbott,"April 6, 2021",true,REAL,1
543,Tom Kertscher,Says Ford agreed to invest $900 million at an Ohio plant because Donald Trump “lowered taxes” and is now moving the project to Mexico because Joe Biden is “increasing taxes.”,Facebook posts,"April 6, 2021",barely-true,FAKE,0
544,Gabrielle Settles,"“Pete Buttigieg’s dog and pony show. He gets out of [the] car to ride his bike a few feet, pretending to save energy.”",Facebook posts,"April 6, 2021",false,FAKE,0
545,Tom Kertscher,"“Per the CDC, there are nearly twice as many vaccine-related deaths so far in 2021 (1,755) than all the vaccine deaths this past decade (994).”",The Gateway Pundit,"April 6, 2021",false,FAKE,0
546,D.L. Davis,"Says Gov. Tony Evers’ 2021-22 state budget ""increases taxes $1 billion +""",Rick Gundrum,"April 6, 2021",mostly-true,FAKE,0
547,Samantha Putterman,"Navy SEALs found over 1,000 trafficked children and dead bodies on the Evergreen ship that blocked the Suez Canal.",Bloggers,"April 5, 2021",pants-fire,FAKE,0
548,Raeanne Beckner,"H.R. 1 “mandates practices nationwide” that include “ballot harvesting, universal mail-in voting and same-day registration.”",Alex Mooney,"April 5, 2021",half-true,FAKE,0
549,Madison Czopek,"In this photo, “Man uses a gun to rob a Texas convenience store. Man was shot by every customer inside the store”",Viral image,"April 5, 2021",false,FAKE,0
550,Warren Fiske,“Two out of our last three governors in Virginia were investigated by the FBI. One went to jail and one is running for office again in this election.”,Jennifer Carroll Foy,"April 5, 2021",half-true,FAKE,0
551,Paul Specht,“People don’t pretend to be someone else to go in and vote. You just don’t see that kind of fraud.”,Roy Cooper,"April 5, 2021",mostly-true,FAKE,0
552,Gabrielle Settles,"“As of today, no one has the right to film or photograph Mr. Biden as he climbs the flight of stairs. New White House spokesman orders!!?”",TikTok posts,"April 2, 2021",pants-fire,FAKE,0
553,Jon Greenberg,Says Joe Biden’s infrastructure plan “is the Green New Deal.”,Citizens United,"April 2, 2021",barely-true,FAKE,0
554,Eric Litke,“It took the Legislature nearly 300 days to act on a (COVID-19) bill during this pandemic.”,Tony Evers,"April 2, 2021",half-true,FAKE,0
555,Bill McCarthy,"""They’re unable to administer vaccines if the lockdown ends because the emergency ends with it.”",Tweets,"April 2, 2021",false,FAKE,0
556,Louis Jacobson,HR 1 “gives the federal government the power to establish their own committees” to take over the redistricting process.,Turning Point USA,"April 2, 2021",barely-true,FAKE,0
557,Samantha Putterman,The number of pregnant women who have miscarried increased by “366% in just six weeks” as a result of their receiving a COVID-19 vaccine.,Bloggers,"April 2, 2021",false,FAKE,0
558,Clara Hendrickson,Michigan election bills are “designed to make it easier for people to vote.”,Michael MacDonald,"April 2, 2021",barely-true,FAKE,0
559,Gabrielle Settles,“The tax deadline is April 18th. Do your taxes soon.”,Viral image,"April 1, 2021",false,FAKE,0
560,Daniel Funke,"""mRNA is not a vaccine"" — it's ""actually an operating system"" that's run by Bill Gates to program humans.",Facebook posts,"April 1, 2021",pants-fire,FAKE,0
561,Tom Kertscher,"“If I don’t take the vaccine, I’m at risk for covid. If I do take the vaccine, I’m still at risk for covid PLUS I’m at risk for permanent vaccine side effects. Therefore I’m reducing my risk by not taking the vaccine. That’s the real science.”",Facebook posts,"March 31, 2021",false,FAKE,0
562,Jon Greenberg,Calls COVID-19 vaccine a “non-FDA-approved experimental agent.”,Instagram posts,"March 31, 2021",barely-true,FAKE,0
563,Gabrielle Settles,A map shows “all the cargo ships backed up by the Suez Canal. Get ready for shortages and prices to skyrocket.”,Facebook posts,"March 31, 2021",false,FAKE,0
564,Noah Y.,Says H.R. 1 gives immigrants illegally in the country “the right to vote.”,Instagram posts,"• March 31,",false,FAKE,0
565,Andy Nguyen,"“From Europe: 3,964 people have died from adverse drug reactions for COVID-19 ‘vaccines’ – 162,610 injuries.”",Bloggers,"March 31, 2021",false,FAKE,0
566,Louis Jacobson,"If the voting bill H.R. 1 is passed, “absentee ballots would be mailed out to anyone without proof of the voter’s identity.”",Facebook posts,"March 31, 2021",false,FAKE,0
567,Amy Sherman,U.S. Rep. Matt Gaetz was the lone vote in the House against an anti-human trafficking bill.,Facebook posts,"March 31, 2021",true,REAL,1
568,Madison Czopek,Video says COVID-19 vaccines are “weapons of mass destruction” that “could wipe out the human race.”,Facebook posts,"March 31, 2021",pants-fire,FAKE,0
569,Michael Majchrowicz,Image of expansive pit shows a lithium mine.,Viral image,"March 31, 2021",false,FAKE,0
570,Samantha Putterman,Says Ben Shapiro said on Twitter that his “red pill moment” was sharing cupcakes with poor kids.,Facebook posts,"March 31, 2021",pants-fire,FAKE,0
571,Tom Kertscher,"“Joe Biden puts pro-life groups on domestic extremist list, calls pro-life people ‘violent.’”",Facebook posts,"March 31, 2021",barely-true,FAKE,0
572,Amy Sherman,Georgia’s new voting law “makes it a JAIL-TIME CRIME to drop off grandma’s absentee ballot in a dropbox.”,Facebook posts,"March 30, 2021",false,FAKE,0
573,Jon Greenberg,"Says Deborah Birx “traveled a great distance to see her family for Thanksgiving, only to have them call the police and turn her in. She then ... resigned.”",Donald Trump,"March 30, 2021",half-true,FAKE,0
574,Tom Kertscher,"“Minority farmers get big bonus, white ones get none,” because of Democrats.",Facebook posts,"March 30, 2021",half-true,FAKE,0
575,Samantha Putterman,The ship that was stuck in the Suez Canal was a planned or staged event.,Instagram posts,"March 30, 2021",false,FAKE,0
576,Bill McCarthy,"Says Rachel Levine was Time magazine's ""Woman of the Year.""",Facebook posts,"March 30, 2021",false,FAKE,0
577,Noah Y.,Nostradamus predicted that a “feeble man” would rule the “Western World” after a time of “plague.”,Facebook posts,"• March 30,",pants-fire,FAKE,0
578,Madison Czopek,Says Sen. Cory Booker wants to require a federal license for gun owners but criticizes voter ID laws as discriminatory.,Viral image,"March 30, 2021",mostly-true,FAKE,0
579,Eric Litke,"Judge Jeff Davis ""spent years defending a convicted cop killer"" and ""tried to get him off the hook.""",Shelley Grogan,"March 30, 2021",half-true,FAKE,0
580,Warren Fiske,“There is no discernible difference between the spread and deaths of COVID in Virginia than there is in Florida.”,Pete Snyder,"March 30, 2021",false,FAKE,0
581,Tom Kertscher,"“Less than 500 people a year killed by all rifles combined” and “4,000 a year killed by illegals.”",Facebook posts,"March 30, 2021",barely-true,FAKE,0
582,Tom Kertscher,"Says the suspected Boulder mass shooter is a Muslim ""who entered illegally from Mexico and purchased the firearm from a guy that sells stolen guns.""",Facebook posts,"March 30, 2021",barely-true,FAKE,0
583,Bill McCarthy,“Toxicology report was made public by the MN prosecution revealing the cause of George Floyd’s death was a fentanyl overdose.”,Facebook posts,"March 30, 2021",false,FAKE,0
584,Gabrielle Settles,"Says Jimmy Kimmel, Jimmy Fallon and Stephen Colbert are “still not doing Biden jokes.""",Facebook posts,"March 30, 2021",false,FAKE,0
585,Samantha Putterman,Says Google Earth blocked people from seeing the Suez Canal.,Facebook posts,"March 29, 2021",false,FAKE,0
586,Miriam Valverde,“We spent billions on a border wall and quit when it was 90% finished.”,Facebook posts,"March 29, 2021",barely-true,FAKE,0
587,Amy Sherman,A Georgia law has not “criminalized giving people bottles of water.” It pertains to political organizations.,Josh Holmes,"March 29, 2021",barely-true,FAKE,0
588,Louis Jacobson,"""There are 43 states that have now passed voter suppression laws.""",James Clyburn,"March 29, 2021",false,FAKE,0
589,Paul Specht,"""Joe Biden forced the U.S. Attorney for the Eastern District of North Carolina to resign after 24 people were charged with election fraud and the Mainstream Media never even batted an eyelash.""",Tweets,"March 29, 2021",barely-true,FAKE,0
590,Noah Y.,Nike and Lil Nas X are launching “demonic shoes” containing human blood.,Facebook posts,"• March 29,",half-true,FAKE,0
591,Brandon Mulder,"""We began seeing the increase in unaccompanied minors going back to last April 2020. This is not something that happened as a result of Joe Biden becoming president.”",Veronica Escobar,"March 29, 2021",half-true,FAKE,0
592,Michael Majchrowicz,“In a vegan world there would be no pandemics. 100% of pandemics are zoonotic in origin.”,Facebook posts,"March 29, 2021",barely-true,FAKE,0
593,Bill McCarthy,"""Ted Cruz says owning a gun should be as hassle free as owning a car, which as I recall requires a license and registration.""",Facebook posts,"March 29, 2021",false,FAKE,0
594,Madeline Heim,"“There’s still (only) a handful of school districts"" doing no in-person instruction.",Tony Evers,"March 29, 2021",true,REAL,1
595,Louis Jacobson,"“In a majority of states, new voters are able to obtain a rifle quicker than they’re able to cast their first ballot.”",Alex Padilla,"March 29, 2021",mostly-true,FAKE,0
596,Jon Greenberg,"The Democratic clean energy plan is pro-China, because ""90% of the solar panels, 80% of the wind machines, 90% of the rare earth minerals … are in Asia or in China.”",Cathy McMorris Rodgers,"March 29, 2021",half-true,FAKE,0
597,Miriam Valverde,"Says there was a “28% increase in children to the border in my administration” and “31% … in 2019.” The increase in migration in January, February and March “happens every year.”",Joe Biden,"March 26, 2021",barely-true,FAKE,0
598,Taylor Goldenstein,"""Since 2006 Texas has given $19B in taxpayer subsidies to wind energy companies. Over the past 2-3 years Texas has tripled our dependence on wind energy to 23-25 percent of our energy distribution system.""",Allen West,"March 26, 2021",false,FAKE,0
599,Julie Appleby,"“Sorry Dr Fauci and other fearmongers, new study shows vaccines and naturally acquired immunity DO effectively neutralize COVID variants.”",Rand Paul,"March 26, 2021",half-true,FAKE,0
600,Eric Litke,“You can’t tell me they can (develop a safe vaccine) in eight to 10 months. Or a year. It takes more time than that.”,James Edming,"March 26, 2021",pants-fire,FAKE,0
601,Amy Sherman,“Republicans recently passed a bill to eliminate early voting on Sunday” in Georgia,Charles Schumer,"March 26, 2021",barely-true,FAKE,0
602,Haley BeMiller,"The latest stimulus package ""sends stimulus checks to imprisoned murderers, rapists, and child molesters.”",Julian Bradley,"March 26, 2021",mostly-true,FAKE,0
603,Miriam Valverde,“We’re sending back the vast majority of the families that are coming.”,Joe Biden,"March 25, 2021",false,FAKE,0
604,Ciara O'Rourke,Bull sharks were released in an Arkansas river.,Viral image,"March 25, 2021",false,FAKE,0
605,Landon Allison,“We had the highest number of (military) sexual assaults ever reported in the last year” and “we had the lowest conviction rate and the lowest prosecution rate.”,Kirsten Gillibrand,"March 25, 2021",mostly-true,FAKE,0
606,Ciara O'Rourke,Passports aren’t required to enter the United States from Mexico and Canada.,Facebook posts,"March 25, 2021",barely-true,FAKE,0
607,Daniel Funke,"""Suez Canal blocked by huge container ship named Evergreen. Evergreen shipping is most likely a cover for human and sex trafficking” by Hillary Clinton.",Facebook posts,"March 25, 2021",pants-fire,FAKE,0
608,Duncan Slade,West Virginia “is the only state to decline in population over the last 70 years”,Jim Justice,"March 25, 2021",true,REAL,1
609,Bill McCarthy,"A CNN chyron said the Boulder “shooter was factually Arabic, but morally white.”",Facebook posts,"March 25, 2021",pants-fire,FAKE,0
610,Bill McCarthy,"""In 2004, George W. Bush lifted the ban on those (AR-15 type) rifles, and since then, the number of massacres has increased 183%. During the ban, there were 12 incidents. Since he lifted the ban, there were 34 incidents.""",Joy Behar,"March 25, 2021",half-true,FAKE,0
611,Tom Kertscher,"""80% of people taking the Moderna vaccine had significant side effects, via Bill Gates.""",Facebook posts,"March 25, 2021",false,FAKE,0
612,Paul Specht,"""Illegal border crossings are up 173% from 1 year ago and 28% since January when President Biden stopped the wall & deportations and started catch & release.""",Richard Hudson,"March 25, 2021",half-true,FAKE,0
613,Laura Schulte,"“Right now, two-thirds of the U.S. Senate is composed of millionaires.”",Tom Nelson,"March 25, 2021",mostly-true,FAKE,0
614,Daniel Funke,“New information coming in that Boulder shooter was a Syrian refugee who arrived via Obama-era asylum programs.”,Jack Posobiec,"March 24, 2021",barely-true,FAKE,0
615,Amy Sherman,"""We proudly handed the Biden administration the most secure border in history. All they had to do was keep this smooth-running system on autopilot.”",Donald Trump,"March 24, 2021",barely-true,FAKE,0
616,Miriam Valverde,The border surge is “challenging” because the immigration system that had been in place for decades “was dismantled in its entirety by the Trump administration.”,Alejandro Mayorkas,"March 24, 2021",half-true,FAKE,0
617,Noah Y.,"The “president of Drag Queen Story Hour” was “arrested, charged with child pornography.”",Facebook posts,"• March 24,",false,FAKE,0
618,Jon Greenberg,These 11 mass shootings involved an AR-15-style weapon.,Viral image,"March 24, 2021",mostly-true,FAKE,0
619,Tom Kertscher,"“Finally, a judge has ruled Dominion voting machines were designed to create fraud.”",Facebook posts,"March 23, 2021",false,FAKE,0
620,Eric Litke,"“There was no violence on the Senate side, in terms of the chamber.”",Ron Johnson,"March 23, 2021",barely-true,FAKE,0
621,Ciara O'Rourke,"“Last week, the Colorado Supreme Court declared that Boulder’s AR-15 ban was unconstitutional. Today, there was a mass shooting in Boulder.”",Viral image,"March 23, 2021",half-true,FAKE,0
622,Daniel Funke,"The shooting in Boulder, Colo., was a ""false flag like most of the others.""",Facebook posts,"March 23, 2021",pants-fire,FAKE,0
623,Bill McCarthy,The southern U.S. border “is now open to anyone from anywhere in the world who wishes to enter our country.”,Jeanine Pirro,"March 23, 2021",false,FAKE,0
624,Ciara O'Rourke,“Texas has launched ‘Operation Lone Star’ to finish the border wall themselves.”,Facebook posts,"March 23, 2021",false,FAKE,0
625,Ciara O'Rourke,"Gas costs $7.89 at a station in Albuquerque, New Mexico.",Viral image,"March 23, 2021",false,FAKE,0
626,Louis Jacobson,"Under H.R. 1, the Federal Election Commission “for the first time ever, instead of being an equal number of Republicans and Democrats (would be) three of one side and two of the other.""",Roy Blunt,"March 22, 2021",barely-true,FAKE,0
627,Samantha Putterman,The movie “I am Legend” was based in the year 2021 and people turned into zombies “because of the wrong vaccine.”,Facebook posts,"March 22, 2021",false,FAKE,0
628,Ciara O'Rourke,“Jamaica has not recorded any case of the coronavirus.”,Viral image,"March 22, 2021",pants-fire,FAKE,0
629,Andy Nguyen,Aluminum “is in the vaccine” and will hurt the brain.,Instagram posts,"March 22, 2021",false,FAKE,0
630,Noah Y.,"“Joe Biden and Kamala Harris forced our troops to sleep on the floor of a garage, yet has authorized $89 million for hotel rooms for illegal immigrants.”",Facebook posts,"• March 22,",barely-true,FAKE,0
631,Ciara O'Rourke,Says Disneyland is enforcing a “no scream” policy on roller coasters.,Viral image,"March 22, 2021",false,FAKE,0
632,Ciara O'Rourke,Video “proves 100% that President Joe Biden is not a ‘human’ being.”,Viral image,"March 22, 2021",pants-fire,FAKE,0
633,Warren Fiske,"“If you look at the average teacher pay compared to the average pay of your citizens, Virginia ranks last.”",Terry McAuliffe,"March 22, 2021",true,REAL,1
634,Daniel Funke,“You will need a WHO Yellow Vaccination Passport if you plan on traveling internationally once borders open.”,TikTok posts,"March 22, 2021",barely-true,FAKE,0
635,Kiannah Sepeda-Miller,The American Rescue Plan Act “does not” include “checks and balances” on how funds for state and local governments can be spent.,Mike Bost,"March 21, 2021",half-true,FAKE,0
636,Samantha Putterman,"“Pelosi’s $1.9 trillion bailout gives EVERY federal employee a $21,000 bonus check… they never lost their job!”",Facebook posts,"March 19, 2021",false,FAKE,0
637,Bill McCarthy,"“Black Lives Matter of Atlanta Charged with Wire Fraud, Money Laundering and Allegedly Using almost 500k in Donations For Personal Use.”",Tweets,"March 19, 2021",false,FAKE,0
638,Jill Terreri,"""If you are a hard-working law-abiding citizen who earns $80,000, you don’t get a stimulus check. But if you are a convicted murderer or rapist sitting in jail, you do.""",Nicole Malliotakis,"• March 19,",mostly-true,FAKE,0
639,Michael Majchrowicz,"Says Burisma admitted in a Ukrainian court to paying Joe Biden $900,000.",Facebook posts,"March 19, 2021",false,FAKE,0
640,Noah Y.,A CDC study found that “mask mandates made no statistical difference” on coronavirus case rates.,Bloggers,"• March 19,",pants-fire,FAKE,0
641,Eric Litke,"""We’ve had more voter turnout since voter ID was passed than ever before.""",Duey Stroebel,"March 19, 2021",barely-true,FAKE,0
642,William Skipworth,"By ending the Keystone XL Pipeline project, President Joe Biden “imperiled one of Donald Trump's most significant achievements, which was that we had achieved American energy independence.”",Eric Greitens,"March 19, 2021",barely-true,FAKE,0
643,Amy Sherman,"""When I became governor, we banned sanctuary cities and we also did E-Verify.""",Ron DeSantis,"March 19, 2021",mostly-true,FAKE,0
644,Ciara O'Rourke,"Says Candace Owens tweeted, “Yes, my husband did cheat on me with my brother. Yes, he said no when I asked to join.”",Viral image,"March 19, 2021",false,FAKE,0
645,Haley BeMiller,"""Pot today is not the weed baby boomers were smoking.""",Barbara Dittrich,"March 19, 2021",true,REAL,1
646,Ciara O'Rourke,Video shows Joe Biden faked an interview in front of a green screen.,YouTube videos,"March 18, 2021",pants-fire,FAKE,0
647,Samantha Putterman,The Atlanta shooting suspect wrote an anti-China post on Facebook prior to the shootings.,Facebook posts,"March 18, 2021",false,FAKE,0
648,Ciara O'Rourke,“70% of Georgians said they would vote for Trump in 2024.”,Mike Huckabee,"March 18, 2021",false,FAKE,0
649,Jon Greenberg,“Democrats have accomplished a lot in just 2 months ... 1 Million energy jobs destroyed.”,Kevin McCarthy,"March 17, 2021",pants-fire,FAKE,0
650,Sudiksha Kochi,Says Meghan Markle tweeted about Oprah Winfrey following her primetime interview.,Viral image,"March 17, 2021",pants-fire,FAKE,0
651,Bill McCarthy,"The Washington Post was ""forced to correct what (Donald Trump) told the secretary of state of Georgia.”",Maria Bartiromo,"March 17, 2021",false,FAKE,0
652,Samantha Putterman,A photo shows a recent White House event was actually filmed at Tyler Perry Studios in Atlanta.,Facebook posts,"March 17, 2021",pants-fire,FAKE,0
653,Ciara O'Rourke,“Actor Tom Hanks has passed away age 63.”,Viral image,"March 17, 2021",pants-fire,FAKE,0
654,Daniel Funke,"Says Joe Biden is “now saying he inherited ‘a mess’ at the border. Fact: 9,000 illegals all of 2020. So far in 2021 108,000 entered U.S.”",Facebook posts,"March 17, 2021",false,FAKE,0
655,Ciara O'Rourke,"Says Kamala Harris said, “We will be shuttering the VA… the money saved will go to better use in assisting refugee families.”",Viral image,"March 17, 2021",pants-fire,FAKE,0
656,Laura Schulte,“We have reached our goal to clear the backlog of (unemployment) claims.”,Amy Pechacek,"March 17, 2021",half-true,FAKE,0
657,Eric Litke,"Diesel prices jumped from $1.69 to $3.19 since Biden took office, and the president is to blame.",Facebook posts,"March 17, 2021",pants-fire,FAKE,0
658,Miriam Valverde,"""We saw the increases (of unaccompanied minors at the southern U.S. border) dating back almost a year.""",Veronica Escobar,"March 17, 2021",mostly-true,FAKE,0
659,Paul Specht,Says a lack of transparency for small-dollar donations is the “same thing” as dark money,Thom Tillis,"March 16, 2021",barely-true,FAKE,0
660,Monique Curet,"Says “Fallon (Fox), a transgender MMA fighter, has now broken 2 female opponents’ skulls,” and shows a photo of Fox alongside an MMA fighter with a severely bloodied face.",Facebook posts,"March 16, 2021",barely-true,FAKE,0
661,Tom Kertscher,“Donald J. Trump’s signature is on the new stimulus checks.”,Facebook posts,"March 16, 2021",false,FAKE,0
662,Jon Greenberg,"The COVID economic relief package “included $600 million for San Francisco, part of which goes to cover the tab for free alcohol and marijuana for the homeless.""",Kevin McCarthy,"March 16, 2021",false,FAKE,0
663,Tom Kertscher,Hank Aaron and Marvelous Marvin Hagler died “after taking the COVID-19 vaccine.”,Aubrey Huff,"March 16, 2021",false,FAKE,0
664,D.L. Davis,"""Wisconsin is one of only nine states in the nation in which 17 year-olds are automatically treated as adults in the criminal justice system.""",LaKeshia Myers,"March 16, 2021",half-true,FAKE,0
665,Louis Jacobson,"The Republican tax bill passed in 2017 ""gave 83% of the benefits to the top 1%.""",Nancy Pelosi,"March 16, 2021",half-true,FAKE,0
666,Tom Kertscher,"""90% of Americans do not support universal background checks.""",Colion Noir,"March 15, 2021",false,FAKE,0
667,Samantha Putterman,"Vaccines send the immune system into “perpetual overdrive” by instructing cells to keep “making the protein of an invader, nonstop, forever and ever.”",Facebook posts,"March 15, 2021",false,FAKE,0
668,Ciara O'Rourke,“Fauci admits he isn’t listening to the science when advocating policy.”,Facebook posts,"March 15, 2021",false,FAKE,0
669,Sarah Watson,Tenured professors are guaranteed a job.,Iowa GOP state legislators,"March 15, 2021",barely-true,FAKE,0
670,Tom Kertscher,"“Illegal aliens will receive $1,400 stimulus checks.”",Facebook posts,"March 12, 2021",barely-true,FAKE,0
671,Michael Majchrowicz,Says Meghan Markle was paid $7 million for giving an interview to Oprah.,Viral image,"March 12, 2021",false,FAKE,0
672,Ciara O'Rourke,Says Rachel Levine “is telling us that Dr. Seuss books and Mr. Potato Head are bad for the children.”,Viral image,"March 12, 2021",false,FAKE,0
673,Madison Czopek,There are nanoparticles in the COVID-19 vaccine that will help people “locate you” via 5G networks.,Facebook posts,"March 12, 2021",pants-fire,FAKE,0
674,Bill McCarthy,"Says President Joe Biden promoted ""mandatory vaccines for everybody"" in his March 11 address.",Facebook posts,"March 12, 2021",false,FAKE,0
675,Mary Hartel,"""86% of Americans and 82% of gun owners support requiring all gun buyers to pass a background check.""",Beth Wessel-Kroeschell,"March 12, 2021",true,REAL,1
676,Ciara O'Rourke,"“Next week has a time change, full moon and Friday the 13th.”",Viral image,"March 12, 2021",false,FAKE,0
677,Samantha Putterman,Says El Chapo testified in court that he paid off Nancy Pelosi to keep the U.S.-Mexico border open for drug cartels.,Facebook posts,"March 12, 2021",pants-fire,FAKE,0
