country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
"Greece,GRC,2021-04-21,2652448.0,1876009.0,776439.0,51450.0,45413.0,25.45,18.0,7.45,4357.0,""Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/"
"Greece,GRC,2021-04-22,2708780.0,1924630.0,784150.0,56332.0,45947.0,25.99,18.47,7.52,4408.0,""Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/"
"Greece,GRC,2021-04-23,2765367.0,1971361.0,794006.0,56587.0,46451.0,26.53,18.91,7.62,4457.0,""Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/"
"Greece,GRC,2021-04-24,2821625.0,2004512.0,817113.0,56258.0,47110.0,27.07,19.23,7.84,4520.0,""Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/"
"Greece,GRC,2021-04-25,,47630.0,4570.0,""Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/"
"Greece,GRC,2021-04-26,2883199.0,2032090.0,851109.0,48149.0,27.66,19.5,8.17,4619.0,""Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/"
"Greece,GRC,2021-04-27,2945058.0,2063824.0,881234.0,61859.0,49151.0,28.26,19.8,8.45,4716.0,""Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/"
"Greece,GRC,2021-04-28,3009488.0,2099343.0,910145.0,64430.0,51006.0,28.87,20.14,8.73,4894.0,""Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/"
"Greece,GRC,2021-04-29,3075698.0,2131890.0,943808.0,66210.0,52417.0,29.51,20.45,9.06,5029.0,""Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/"
"Greece,GRC,2021-04-30,3097693.0,2153560.0,944133.0,21995.0,47475.0,29.72,20.66,9.06,4555.0,""Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/"
"Greece,GRC,2021-05-01,3115339.0,2170847.0,944492.0,17646.0,41959.0,29.89,20.83,9.06,4026.0,""Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/"
"Greece,GRC,2021-05-02,,39093.0,3751.0,""Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/"
"Greece,GRC,2021-05-03,3136791.0,2191449.0,945342.0,36227.0,30.09,21.03,9.07,3476.0,""Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/"
"Greece,GRC,2021-05-04,3201212.0,2214648.0,986564.0,64421.0,36593.0,30.71,21.25,9.47,3511.0,""Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/"
"Greece,GRC,2021-05-05,3309788.0,2272646.0,1037142.0,108576.0,42900.0,31.75,21.8,9.95,4116.0,""Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/"
"Greece,GRC,2021-05-06,3424468.0,2333921.0,1090547.0,114680.0,49824.0,32.85,22.39,10.46,4780.0,""Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/"
